ngram,phones,words,file,start_s,end_s
diphone,l a,la,1-2.wav,12.830,13.000
diphone,a v,la vaisselle,1-2.wav,12.910,13.090
diphone,v ɛ,vaisselle,1-2.wav,13.000,13.160
diphone,ɛ s,vaisselle,1-2.wav,13.090,13.310
diphone,s ɛ,vaisselle,1-2.wav,13.160,13.400
diphone,ɛ l,vaisselle,1-2.wav,13.310,13.550
diphone,l p,vaisselle propre,1-2.wav,13.400,13.600
diphone,p ʁ,propre,1-2.wav,13.550,13.690
diphone,ʁ ɔ,propre,1-2.wav,13.600,13.800
diphone,ɔ p,propre,1-2.wav,13.690,13.890
diphone,p ʁ,propre,1-2.wav,13.800,14.050
diphone,ʁ ɛ,propre est,1-2.wav,13.890,14.240
diphone,ɛ m,est mise,1-2.wav,14.140,14.350
diphone,m i,mise,1-2.wav,14.240,14.470
diphone,i z,mise,1-2.wav,14.350,14.580
diphone,z s,mise sur,1-2.wav,14.470,14.740
diphone,s y,sur,1-2.wav,14.580,14.790
diphone,y ʁ,sur,1-2.wav,14.740,14.870
diphone,ʁ l,sur l'évier,1-2.wav,14.790,14.940
diphone,l e,l'évier,1-2.wav,14.870,15.010
diphone,e v,l'évier,1-2.wav,14.940,15.100
diphone,v j,l'évier,1-2.wav,15.010,15.180
diphone,j e,l'évier,1-2.wav,15.100,15.390
triphone,m ɔ̃ p,mon père,1-2.wav,0.350,0.730
triphone,ɔ̃ p ɛ,mon père,1-2.wav,0.470,0.880
triphone,p ɛ ʁ,père,1-2.wav,0.580,1.030
triphone,ɛ ʁ m,père m'a,1-2.wav,0.730,1.160
triphone,ʁ m a,père m'a,1-2.wav,0.880,1.250
triphone,m a d,m'a donné,1-2.wav,1.030,1.340
triphone,a d ɔ,m'a donné,1-2.wav,1.160,1.410
triphone,d ɔ n,donné,1-2.wav,1.250,1.530
triphone,ɔ n e,donné,1-2.wav,1.340,1.650
triphone,n e l,donné l'autorisation,1-2.wav,1.410,1.810
triphone,e l o,donné l'autorisation,1-2.wav,1.530,1.880
triphone,l o t,l'autorisation,1-2.wav,1.650,2.000
triphone,o t ɔ,l'autorisation,1-2.wav,1.810,2.070
triphone,t ɔ ʁ,l'autorisation,1-2.wav,1.880,2.140
triphone,ɔ ʁ i,l'autorisation,1-2.wav,2.000,2.230
triphone,ʁ i z,l'autorisation,1-2.wav,2.070,2.310
triphone,i z a,l'autorisation,1-2.wav,2.140,2.390
triphone,z a s,l'autorisation,1-2.wav,2.230,2.570
triphone,a s j,l'autorisation,1-2.wav,2.310,2.630
triphone,s j ɔ̃,l'autorisation,1-2.wav,2.390,2.750
triphone,j ɔ̃ v,l'autorisation vous,1-2.wav,2.570,3.720
triphone,ɔ̃ v u,l'autorisation vous,1-2.wav,2.630,3.800
triphone,v u p,vous poussez,1-2.wav,3.650,3.920
triphone,u p u,vous poussez,1-2.wav,3.720,3.980
triphone,p u s,poussez,1-2.wav,3.800,4.150
triphone,u s e,poussez,1-2.wav,3.920,4.280
triphone,s e d,poussez des,1-2.wav,3.980,4.330
triphone,e d e,poussez des,1-2.wav,4.150,4.410
triphone,d e k,des cris,1-2.wav,4.280,4.470
triphone,e k ʁ,des cris,1-2.wav,4.330,4.580
triphone,k ʁ i,cris,1-2.wav,4.410,4.660
triphone,ʁ i d,cris de,1-2.wav,4.470,4.730
triphone,i d ə,cris de,1-2.wav,4.580,4.750
triphone,d ə k,de colère,1-2.wav,4.660,4.880
triphone,ə k ɔ,de colère,1-2.wav,4.730,4.940
triphone,k ɔ l,colère,1-2.wav,4.750,5.010
triphone,ɔ l ɛ,colère,1-2.wav,4.880,5.190
triphone,l ɛ ʁ,colère,1-2.wav,4.940,5.460
triphone,ɛ ʁ s,colère ce,1-2.wav,5.010,6.350
triphone,ʁ s ə,colère ce,1-2.wav,5.190,6.370
triphone,s ə p,ce petit,1-2.wav,6.170,6.510
triphone,ə p ə,ce petit,1-2.wav,6.350,6.530
triphone,p ə t,petit,1-2.wav,6.370,6.690
triphone,ə t i,petit,1-2.wav,6.510,6.830
triphone,t i k,petit canard,1-2.wav,6.530,6.890
triphone,i k a,petit canard,1-2.wav,6.690,6.980
triphone,k a n,canard,1-2.wav,6.830,7.070
triphone,a n a,canard,1-2.wav,6.890,7.240
triphone,n a ʁ,canard,1-2.wav,6.980,7.400
triphone,a ʁ a,canard apprend,1-2.wav,7.070,7.550
triphone,ʁ a p,canard apprend,1-2.wav,7.240,7.670
triphone,a p ʁ,apprend,1-2.wav,7.440,7.760
triphone,p ʁ ɑ̃,apprend,1-2.wav,7.550,7.890
triphone,ʁ ɑ̃ a,apprend à,1-2.wav,7.670,8.050
triphone,ɑ̃ a n,apprend à nager,1-2.wav,7.760,8.150
triphone,a n a,à nager,1-2.wav,7.920,8.250
triphone,n a ʒ,nager,1-2.wav,8.050,8.380
triphone,a ʒ e,nager,1-2.wav,8.150,8.610
triphone,ʒ e l,nager la,1-2.wav,8.250,9.590
triphone,e l a,nager la,1-2.wav,8.380,9.660
triphone,l a v,la voiture,1-2.wav,9.500,9.770
triphone,a v w,la voiture,1-2.wav,9.590,9.860
triphone,v w a,voiture,1-2.wav,9.660,9.940
triphone,w a t,voiture,1-2.wav,9.770,10.070
triphone,a t y,voiture,1-2.wav,9.860,10.220
triphone,t y ʁ,voiture,1-2.wav,9.940,10.360
triphone,y ʁ s,voiture s'est,1-2.wav,10.070,10.480
triphone,ʁ s ɛ,voiture s'est,1-2.wav,10.220,10.670
triphone,s ɛ a,s'est arrêtée,1-2.wav,10.360,10.730
triphone,ɛ a ʁ,s'est arrêtée,1-2.wav,10.480,10.820
triphone,a ʁ ɛ,arrêtée,1-2.wav,10.670,10.880
triphone,ʁ ɛ t,arrêtée,1-2.wav,10.730,11.010
triphone,ɛ t e,arrêtée,1-2.wav,10.820,11.140
